repo_name,full_name,description,stars,forks,open_issues,language,created_at,updated_at,topics,license,size_kb,watchers
TaskingAI,TaskingAI/TaskingAI,The open source platform for AI-native application development.,5380,354,41,Python,2024-01-08,2026-03-30,agent|ai|ai-native|function-call|generative-ai|gpt|langchain|llm|rag|retrieval-augmented-generation,Apache-2.0,17147,5380
potpie,potpie-ai/potpie,Spec-driven development for large codebases,5301,586,124,Python,2024-08-12,2026-03-30,agents|ai-agents|ai-agents-framework|artificial-intelligence|developer-tools|devtools|generative-ai|knowledge-graph|rag,Apache-2.0,18047,5301
learn-ai-engineering,ashishps1/learn-ai-engineering,Learn AI and LLMs from scratch using free resources,5261,1321,2,Unknown,2025-04-11,2026-03-30,agentic-ai|agents|ai|deep-learning|generative-ai|large-language-models|llm|machine-learning|mcp|ml,GPL-3.0,49,5261
ai-data-science-team,business-science/ai-data-science-team,An AI-powered data science team of agents to help you perform common data science tasks 10X faster.,5071,876,30,Python,2024-12-11,2026-03-29,agents|ai|ai-engineer|ai-engineering|copilot|data-science|data-scientist|generative-ai|gpt|machine-learning,MIT,30469,5071
h2o-llmstudio,h2oai/h2o-llmstudio,H2O LLM Studio - a framework and no-code GUI for fine-tuning LLMs. Documentation: https://docs.h2o.ai/h2o-llmstudio/,4901,522,44,Python,2023-04-17,2026-03-30,ai|chatbot|chatgpt|fedramp|fine-tuning|finetuning|generative|generative-ai|gpt|llama,Apache-2.0,57328,4901
cognita,truefoundry/cognita,"RAG (Retrieval Augmented Generation) Framework for building modular, open source applications for production by TrueFoundry ",4394,387,22,Python,2023-07-26,2026-03-30,agent|ai|application|data|deep-learning|fine-tuning|framework|generative-ai|llm|llm-ops,Apache-2.0,52720,4394
llm-twin-course,decodingai-magazine/llm-twin-course,🤖 𝗟𝗲𝗮𝗿𝗻 for 𝗳𝗿𝗲𝗲 how to 𝗯𝘂𝗶𝗹𝗱 an end-to-end 𝗽𝗿𝗼𝗱𝘂𝗰𝘁𝗶𝗼𝗻-𝗿𝗲𝗮𝗱𝘆 𝗟𝗟𝗠 & 𝗥𝗔𝗚 𝘀𝘆𝘀𝘁𝗲𝗺 using 𝗟𝗟𝗠𝗢𝗽𝘀 best practices: ~ 𝘴𝘰𝘶𝘳𝘤𝘦 𝘤𝘰𝘥𝘦 + 12 𝘩𝘢𝘯𝘥𝘴-𝘰𝘯 𝘭𝘦𝘴𝘴𝘰𝘯𝘴,4308,717,8,Python,2024-03-08,2026-03-30,aws|bytewax|comet-ml|course|docker|generative-ai|infrastructure-as-code|large-language-models|llmops|machine-learning-engineering,MIT,10254,4308
GenAI-Showcase,mongodb-developer/GenAI-Showcase,GenAI Cookbook,4226,727,15,Jupyter Notebook,2024-01-30,2026-03-30,agents|artificial-intelligence|generative-ai|llms|rag,MIT,70393,4226
jupyter-ai,jupyterlab/jupyter-ai,A generative AI extension for JupyterLab,4163,482,283,Python,2023-02-09,2026-03-30,generative-ai|jupyter|jupyterlab|jupyterlab-extension,BSD-3-Clause,35911,4163
ai-for-grant-writing,eseckel/ai-for-grant-writing,A curated list of resources for using LLMs to develop more competitive grant applications.,4112,511,3,Python,2024-01-16,2026-03-29,generative-ai|grant-proposals|grants|llms|scientific-writing,CC-BY-4.0,860,4112
AdalFlow,SylphAI-Inc/AdalFlow,AdalFlow: The library to build & auto-optimize LLM applications.,4084,366,56,Python,2024-04-19,2026-03-30,agent|ai|auto-prompting|bm25|chatbot|faiss|framework|generative-ai|information-retrieval|llm,MIT,120453,4084
koog,JetBrains/koog,"Koog is a JVM (Java and Kotlin) framework for building predictable, fault-tolerant and enterprise-ready AI agents across all platforms – from backend services to Android and iOS, JVM, and even in-brow",4009,353,219,Kotlin,2025-05-01,2026-03-30,agentframework|agentic-ai|agents|ai|ai-agents-framework|aiagentframework|android-ai|anthropic|genai|generative-ai,Apache-2.0,61979,4009
PyRIT,microsoft/PyRIT,The Python Risk Identification Tool for generative AI (PyRIT) is an open source framework built to empower security professionals and engineers to proactively identify risks in generative AI systems.,3643,713,109,Python,2023-12-12,2026-03-30,ai-red-team|generative-ai|red-team-tools|responsible-ai,MIT,342371,3643
mcp-context-forge,IBM/mcp-context-forge,"An AI Gateway, registry, and proxy that sits in front of any MCP, A2A, or REST/gRPC APIs, exposing a unified endpoint with centralized discovery, guardrails and management. Optimizes Agent & Tool call",3497,604,872,Python,2025-05-08,2026-03-30,agents|ai|api-gateway|asyncio|authentication-middleware|devops|docker|fastapi|federation|gateway,Apache-2.0,297649,3497
SDV,sdv-dev/SDV,Synthetic data generation for tabular data,3453,415,148,Python,2018-05-11,2026-03-30,data-generation|deep-learning|gan|gans|generative-adversarial-network|generative-ai|generative-model|generativeai|machine-learning|multi-table,NOASSERTION,33444,3453
awesome-generative-ai,filipecalegario/awesome-generative-ai,"A curated list of Generative AI tools, works, models, and references",3407,711,132,Unknown,2021-07-19,2026-03-30,ai-art|awesome|awesome-list|chatgpt|dall-e|dalle2|embeddings|generative-ai|gpt-4|llm,CC0-1.0,1294,3407
hands-on-llms,iusztinpaul/hands-on-llms,"🦖 𝗟𝗲𝗮𝗿𝗻 about 𝗟𝗟𝗠𝘀, 𝗟𝗟𝗠𝗢𝗽𝘀, and 𝘃𝗲𝗰𝘁𝗼𝗿 𝗗𝗕𝘀 for free by designing, training, and deploying a real-time financial advisor LLM system ~ 𝘴𝘰𝘶𝘳𝘤𝘦 𝘤𝘰𝘥𝘦 + 𝘷𝘪𝘥𝘦𝘰 & 𝘳𝘦𝘢𝘥𝘪𝘯𝘨 𝘮𝘢𝘵𝘦𝘳𝘪𝘢𝘭𝘴",3401,550,19,Jupyter Notebook,2023-06-28,2026-03-30,3-pipeline-design|aws|beam|bytewax|cicd|comet-ml|docker|fine-tuning|generative-ai|huggingface,MIT,26897,3401
semantic-router,aurelio-labs/semantic-router,Superfast AI decision making and intelligent processing of multi-modal data.,3388,321,84,Python,2023-10-30,2026-03-30,ai|artificial-intelligence|chatbot|computer-vision|generative-ai|machine-learning|nlp,MIT,134563,3388
bifrost,maximhq/bifrost,"Fastest enterprise AI gateway (50x faster than LiteLLM) with adaptive load balancer, cluster mode, guardrails, 1000+ models support & <100 µs overhead at 5k RPS.",3346,360,215,Go,2025-03-19,2026-03-30,ai-gateway|gateway|gateway-services|generative-ai|guardrails|llm|llm-cost|llm-gateway|llm-observability|llmops,Apache-2.0,504130,3346
embabel-agent,embabel/embabel-agent,Agent framework for the JVM. Pronounced Em-BAY-bel /ɛmˈbeɪbəl/,3209,302,68,Kotlin,2025-04-10,2026-03-30,agent|agentic-ai|agents|ai|ai-agents|aiagentframework|genai|generative-ai|java|kotlin,Apache-2.0,16200,3209
neo,neomjs/neo,"The Application Engine for the AI Era. A multi-threaded, AI-native runtime with a persistent Scene Graph, enabling AI agents to introspect and mutate the living application structure in real-time.",3165,202,121,JavaScript,2019-11-10,2026-03-30,ai-agents|application-engine|architecture|autonomous-agents|desktop-like|esm|frontend|generative-ai|javascript|mcp-servers,MIT,1799842,3165
hallucination-leaderboard,vectara/hallucination-leaderboard,Leaderboard Comparing LLM Performance at Producing Hallucinations when Summarizing Short Documents,3161,99,18,Python,2023-10-31,2026-03-30,generative-ai|hallucinations|llm,Apache-2.0,476046,3161
TTS-WebUI,rsxdalv/TTS-WebUI,"A single Gradio + React WebUI with extensions for ACE-Step, Kimi Audio, Piper TTS, GPT-SoVITS, CosyVoice, XTTSv2, DIA, Kokoro, OpenVoice, ParlerTTS, Stable Audio, MMS, StyleTTS2, MAGNet, AudioGen, Mus",3046,308,113,TypeScript,2023-04-27,2026-03-30,ace-step|ai|audio-generation|cosyvoice|generative-ai|generator|gradio|music|musicgen|openai-api,MIT,37282,3046
Generative-Media-Skills,SamurAIGPT/Generative-Media-Skills,"Multi-modal Generative Media Skills for AI Agents (Claude Code, Cursor, Gemini CLI). High-quality image, video, and audio generation powered by muapi.ai.",2978,328,0,Shell,2023-05-25,2026-03-30,agent-tools|ai-agents|ai-art|ai-music|ai-video|claude-code|flux|generative-ai|image-generation|kling,MIT,2067,2978
agentic-rag-for-dummies,GiovanniPasq/agentic-rag-for-dummies,A modular Agentic RAG built with LangGraph — learn Retrieval-Augmented Generation Agents in minutes.,2922,401,2,Jupyter Notebook,2025-10-13,2026-03-30,agent|agentic-ai|agentic-rag|agents|ai-agents|bm25|generative-ai|gradio|langchain|langgraph,MIT,24768,2922
AP2,google-agentic-commerce/AP2,Building a Secure and Interoperable Future for AI-Driven Payments.,2898,416,81,Python,2025-05-30,2026-03-30,a2a|agentic-ai|agents|gen-ai|generative-ai|payments,Apache-2.0,3217,2898
Open-Higgsfield-AI,Anil-matcha/Open-Higgsfield-AI,"Open-source alternative to Higgsfield AI — Free AI image generation & cinema studio with 20+ models (Flux, SDXL, Midjourney, Ideogram). Self-hosted, customizable, MIT licensed.",2724,464,6,JavaScript,2023-05-09,2026-03-30,ai-art-generator|ai-image-generation|ai-video-generation|cinematic|content-creation|creative-tools|flux-1|generative-ai|higgsfield|higgsfield-ai,None,44341,2724
langgraphjs,langchain-ai/langgraphjs,Framework to build resilient language agents as graphs.,2718,437,123,TypeScript,2024-01-09,2026-03-30,agents|ai|artificial-intelligence|generative-ai|llm|node|typescript,MIT,33653,2718
presentation-ai,allweonedev/presentation-ai,ALLWEONE® Open source AI presentation generator Gamma Alternative. Create professional slides with customizable themes and AI-generated content in minutes.,2697,478,1,TypeScript,2025-03-24,2026-03-30,ai|all-in-one|allweone|gamma|generative-ai|generative-presetation|powerpoint-generation|ppt|ppt-ai|presentation-slides,MIT,9463,2697
xTuring,stochasticai/xTuring,"Build, personalize and control your own LLMs. From data pre-processing to fine-tuning, xTuring provides an easy way to personalize open-source LLMs. Join our discord community: https://discord.gg/TgHX",2668,212,14,Python,2023-03-19,2026-03-17,adapter|deep-learning|fine-tuning|finetuning|gen-ai|generative-ai|gpt-2|gpt-j|language-model|llama,Apache-2.0,19645,2668
Stable-Diffusion,FurkanGozukara/Stable-Diffusion,"FLUX, Stable Diffusion, SDXL, SD3, LoRA, Fine Tuning, DreamBooth, Training, Automatic1111, Forge WebUI, SwarmUI, DeepFake, TTS, Animation, Text To Video, Tutorials, Guides, Lectures, Courses, ComfyUI,",2664,362,17,JavaScript,2023-05-01,2026-03-30,ai-art|coding|deepfake-generation|dreambooth|education|flux-dev|flux-lora|generative-ai|guides|how-to,GPL-3.0,8425,2664
Maestro,RunMaestro/Maestro,Agent Orchestration Command Center,2604,259,111,TypeScript,2025-11-23,2026-03-30,ai-agents|claude-code|codex|generative-ai|opencode,AGPL-3.0,88693,2604
Gemini-API,HanaokaYuzu/Gemini-API,✨ Reverse-engineered Python API for Google Gemini web app,2508,370,15,Python,2024-02-11,2026-03-30,ai|api|async|bard|chatbot|gemini|generative-ai|google|google-gemini|image-generation,AGPL-3.0,525,2508
Cradle,BAAI-Agents/Cradle,"The Cradle framework is a first attempt at General Computer Control (GCC). Cradle supports agents to ace any computer task by enabling strong reasoning abilities, self-improvment, and skill curation, ",2482,256,22,Python,2024-03-03,2026-03-30,ai|ai-agent|ai-agents-framework|computer-control|cradle|foundation-agent|gcc|general-computer-control|generative-ai|grounding,MIT,454358,2482
alan-sdk-web,alan-ai/alan-sdk-web,The Self-Coding System for Your App — Alan AI SDK for Web,2433,104,37,Unknown,2019-10-23,2026-03-25,ai|ai-assistant|ai-chat|ai-chat-bot|conversational-ai|custom-dataset|enterprise|explainable-ai|generative-ai|large-language-models,None,72491,2433
synthetic-data-generator,hitsz-ids/synthetic-data-generator,SDG is a specialized framework designed to generate high-quality structured tabular data.,2415,387,25,Python,2023-08-10,2026-03-23,agent|data-generator|deep-learning|gan|generative-ai|llm|machine-learning|privacy|synthetic-data|tabular-data,Apache-2.0,4398,2415
CodeMachine-CLI,moazbuilds/CodeMachine-CLI,"CodeMachine is an open-source tool that orchestrates AI coding agents into repeatable, long-running workflows. ⚡️",2410,230,7,TypeScript,2025-09-28,2026-03-30,ai|automation|cli|cli-tool|code-generation|developer-tools|generative-ai|multi-agent-systems|orchestration|scaffolding,Apache-2.0,33233,2410
instill-core,instill-ai/instill-core,"🔮 Instill Core is a full-stack AI infrastructure tool for data, model and pipeline orchestration, designed to streamline every aspect of building versatile AI-first applications",2308,125,40,Python,2022-01-13,2026-03-29,ai|api|cli|developer-tools|etl|generative-ai|golang|gpt|hacktoberfest|llm,NOASSERTION,11821,2308
LLMStack,trypromptly/LLMStack,"No-code multi-agent framework to build LLM Agents, workflows and applications with your data",2297,340,17,Python,2023-08-06,2026-03-30,agents|ai|ai-agents-framework|generative-ai|llm-agents|llm-chain|llm-framework|llmops|llms|no-code-ai,NOASSERTION,108502,2297
MeshAnything,buaacyw/MeshAnything,"[ICLR 2025] From anything to mesh like human artists. Official impl. of ""MeshAnything: Artist-Created Mesh Generation with Autoregressive Transformers""",2272,103,22,Python,2024-06-16,2026-03-29,3d|auto-regressive-model|generative-ai|generative-model|iclr2025|large-language-models|mesh|mesh-generation|point-cloud|transformers,NOASSERTION,83635,2272
YTPro,prateek-chaubey/YTPro,"Youtube client with older Android version support, background player, Google Gemini ✨ and many more features.",2236,167,27,JavaScript,2022-04-01,2026-03-30,gemini|generative-ai|node-ytdl-core|youtube|youtube-adblock|youtube-dislikes|youtube-downloader|youtube-downloader-android|youtube-player|youtube-vanced,MIT,14454,2236
awesome-llm-powered-agent,hyp1231/awesome-llm-powered-agent,Awesome things about LLM-powered agents. Papers / Repos / Blogs / ...,2214,202,40,Unknown,2023-07-25,2026-03-30,awesome-list|chatgpt|embodied-agent|embodied-ai|foundation-model|foundation-models|generative-agents|generative-ai|generative-model|generative-models,MIT,163,2214
generative-ai,genieincodebottle/generative-ai,"Comprehensive resources on Generative AI, including a detailed roadmap, projects, use cases, interview preparation, and coding preparation.",2169,535,2,Jupyter Notebook,2024-01-09,2026-03-30,agentic-ai|agentic-framework|claude|gemini|genai|genai-usecase|generative-ai|interview-questions|langchain|langgraph,MIT,172444,2169
YiVal,YiVal/YiVal,Your Automatic Prompt Engineering Assistant for GenAI Applications,2129,330,18,Python,2023-07-15,2026-03-22,ai|ai-experiments|ai-toolkit|aigc|api|auto-prompting|autogpt|fine-tuning|framework|generative-ai,Apache-2.0,22871,2129
genai-processors,google-gemini/genai-processors,"GenAI Processors is a lightweight Python library that enables efficient, parallel content processing.",2094,214,9,Python,2025-04-29,2026-03-30,agent|ai|asyncio|gemini|genai|generative-ai|language-model|multimodal|python|realtime,Apache-2.0,2061,2094
awesome-opensource-ai,alvinunreal/awesome-opensource-ai,"Curated list of the best truly open-source AI projects, models, tools, and infrastructure.",2038,158,10,Unknown,2026-03-24,2026-03-30,agents|ai|artificial-intelligence|awesome|awesome-list|generative-ai|llm|machine-learning|mlops|open-source,NOASSERTION,431,2038
bert,google-research/bert,TensorFlow code and pre-trained models for BERT,39942,9707,881,Python,2018-10-25,2026-03-30,google|natural-language-processing|natural-language-understanding|nlp|tensorflow,Apache-2.0,317,39942
HanLP,hankcs/HanLP,"Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification",36224,10907,12,Python,2014-10-09,2026-03-30,dependency-parser|hanlp|named-entity-recognition|natural-language-processing|nlp|pos-tagging|semantic-parsing|text-classification,Apache-2.0,72904,36224
Ciphey,bee-san/Ciphey,"⚡ Automatically decrypt encryptions without knowing the key or cipher, decode encodings, and crack hashes ⚡",21282,1426,10,Python,2019-07-16,2026-03-30,artificial-intelligence|cipher|cpp|cryptography|ctf|ctf-tools|cyberchef-magic|decryption|deep-neural-network|encodings,MIT,17135,21282
DocsGPT,arc53/DocsGPT,"Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents.",17790,2010,64,Python,2023-02-02,2026-03-30,agent-builder|agents|ai|chatgpt|docsgpt|hacktoberfest|hacktoberfest2025|information-retrieval|language-model|llm,MIT,90450,17790
Awesome-pytorch-list,bharathgs/Awesome-pytorch-list,"A comprehensive list of pytorch related content on github,such as different models,implementations,helper libraries,tutorials etc.",16446,2833,12,Unknown,2017-03-01,2026-03-30,awesome|awesome-list|computer-vision|cv|data-science|deep-learning|facebook|machine-learning|natural-language-processing|neural-network,None,812,16446
gensim,piskvorky/gensim,Topic Modelling for Humans,16381,4409,436,Python,2011-02-10,2026-03-30,data-mining|data-science|document-similarity|fasttext|gensim|information-retrieval|machine-learning|natural-language-processing|neural-network|nlp,LGPL-2.1,106568,16381
lectures,oxford-cs-deepnlp-2017/lectures, Oxford Deep NLP 2017 course,15863,3566,12,Unknown,2017-02-06,2026-03-30,deep-learning|machine-learning|natural-language-processing|nlp|oxford,None,48981,15863
nlp-tutorial,graykode/nlp-tutorial,Natural Language Processing Tutorial for Deep Learning Researchers,14874,3962,39,Jupyter Notebook,2019-01-09,2026-03-30,attention|bert|natural-language-processing|nlp|paper|pytorch|tensorflow|transformer|tutorial,MIT,361,14874
nltk,nltk/nltk,NLTK Source,14578,3005,280,Python,2009-09-07,2026-03-30,machine-learning|natural-language-processing|nlp|nltk|python,Apache-2.0,355260,14578
flair,flairNLP/flair,A very simple framework for state-of-the-art Natural Language Processing (NLP),14356,2120,30,Python,2018-06-11,2026-03-30,machine-learning|named-entity-recognition|natural-language-processing|nlp|pytorch|semantic-role-labeling|sequence-labeling|word-embeddings,NOASSERTION,395584,14356
unstructured,Unstructured-IO/unstructured,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to",14352,1208,242,HTML,2022-09-26,2026-03-30,data-pipelines|deep-learning|document-image-analysis|document-image-processing|document-parser|document-parsing|docx|donut|information-retrieval|langchain,Apache-2.0,236247,14352
languagetool,languagetool-org/languagetool,Style and Grammar Checker for 25+ Languages,14236,1493,2096,Java,2013-08-08,2026-03-30,grammar|natural-language|natural-language-processing|proofreading|spellcheck|style-checker,LGPL-2.1,6151007,14236
deep-learning-drizzle,kmario23/deep-learning-drizzle,"Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!",12793,2971,5,HTML,2018-11-26,2026-03-30,artificial-intelligence-algorithms|artificial-neural-networks|bayesian-statistics|computer-vision|deep-learning|deep-neural-networks|deep-reinforcement-learning|explainable-ai|geometric-deep-learning|graph-neural-networks,None,267,12793
LLMSurvey,RUCAIBox/LLMSurvey,"The official GitHub page for the survey paper ""A Survey of Large Language Models"".",12143,938,26,Python,2023-03-14,2026-03-30,chain-of-thought|chatgpt|in-context-learning|instruction-tuning|large-language-models|llm|llms|natural-language-processing|pre-trained-language-models|pre-training,None,45230,12143
MOSS,OpenMOSS/MOSS,An open-source tool-augmented conversational language model from Fudan University,12090,1133,241,Python,2023-04-15,2026-03-29,chatgpt|deep-learning|dialogue-systems|large-language-models|natural-language-processing|text-generation,Apache-2.0,39938,12090
allennlp,allenai/allennlp,"An open-source NLP research library, built on PyTorch.",11893,2223,91,Python,2017-05-15,2026-03-30,data-science|deep-learning|natural-language-processing|nlp|python|pytorch,Apache-2.0,74709,11893
sentencepiece,google/sentencepiece,Unsupervised text tokenizer for Neural Network-based text generation.,11725,1332,35,C++,2017-03-07,2026-03-30,natural-language-processing|neural-machine-translation|word-segmentation,Apache-2.0,37972,11725
ludwig,ludwig-ai/ludwig,"Low-code framework for building custom LLMs, neural networks, and other AI models",11666,1212,1,Python,2018-12-27,2026-03-30,computer-vision|data-centric|data-science|deep|deep-learning|deeplearning|fine-tuning|learning|llama|llama2,Apache-2.0,30411,11666
doccano,doccano/doccano,Open source annotation tool for machine learning practitioners.,10593,1831,390,Python,2018-05-09,2026-03-30,annotation-tool|data-labeling|dataset|datasets|machine-learning|natural-language-processing|nuxt|nuxtjs|python|text-annotation,MIT,57031,10593
tokenizers,huggingface/tokenizers,💥 Fast State-of-the-Art Tokenizers optimized for Research and Production,10576,1066,154,Rust,2019-11-01,2026-03-30,bert|gpt|language-model|natural-language-processing|natural-language-understanding|nlp|transformers,Apache-2.0,17369,10576
stanford-tensorflow-tutorials,chiphuyen/stanford-tensorflow-tutorials,This repository contains code examples for the Stanford's course: TensorFlow for Deep Learning Research. ,10380,4263,85,Python,2016-11-05,2026-03-30,chatbot|course-materials|deep-learning|machine-learning|natural-language-processing|nlp|python|stanford|tensorflow|tutorial,MIT,14037,10380
autogluon,autogluon/autogluon,Fast and Accurate ML in 3 Lines of Code,10174,1128,395,Python,2019-07-29,2026-03-30,autogluon|automated-machine-learning|automl|computer-vision|data-science|deep-learning|ensemble-learning|forecasting|gluon|hyperparameter-optimization,Apache-2.0,25235,10174
LLMsPracticalGuide,Mooler0410/LLMsPracticalGuide,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)",10161,788,15,Unknown,2023-04-23,2026-03-30,large-language-models|natural-language-processing|nlp|survey,None,27890,10161
CoreNLP,stanfordnlp/CoreNLP,"CoreNLP: A Java suite of core NLP tools for tokenization, sentence segmentation, NER, parsing, coreference, sentiment analysis, etc.",10061,2718,182,Java,2013-06-27,2026-03-30,named-entity-recognition|natural-language-processing|nlp|nlp-parsing|stanford-nlp,GPL-3.0,400414,10061
